GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35
0600000US4201780952,4201780952,"Warminster township, Bucks County, Pennsylvania",21291,10194,55,15,66,183,179,287,252,397,3509,716,1365,576,1775,634,73,112,11097,34,6,100,175,124,401,323,448,4506,807,1186,718,1552,457,165,95
0600000US4201781048,4201781048,"Warrington township, Bucks County, Pennsylvania",11420,5583,0,0,21,66,35,95,35,85,1474,355,812,356,1518,598,79,54,5837,0,0,53,54,46,128,108,94,1903,422,628,599,1267,448,69,18
0600000US4201781144,4201781144,"Warwick township, Bucks County, Pennsylvania",7477,3658,0,0,0,16,34,25,25,64,824,282,476,205,1147,378,118,64,3819,9,0,23,20,22,34,13,76,1002,361,478,351,885,368,137,40
0600000US4201783960,4201783960,"West Rockhill township, Bucks County, Pennsylvania",3060,1444,5,0,0,133,49,43,26,10,506,84,160,64,221,83,54,6,1616,0,0,2,105,77,72,18,56,611,82,163,71,212,105,36,6
0600000US4201786624,4201786624,"Wrightstown township, Bucks County, Pennsylvania",1889,916,2,3,0,10,2,15,5,24,246,39,105,44,225,110,47,39,973,2,0,5,16,4,10,13,30,243,69,107,96,225,104,29,20
0600000US4201786920,4201786920,"Yardley borough, Bucks County, Pennsylvania",1912,876,3,0,0,8,23,23,7,20,149,77,114,32,295,79,25,21,1036,0,0,0,6,6,7,12,10,248,72,132,63,268,157,22,33
0600000US4202903384,4202903384,"Atglen borough, Chester County, Pennsylvania",692,332,0,0,5,9,7,12,10,10,129,25,26,29,51,13,6,0,360,0,2,4,5,2,10,15,7,144,26,42,17,67,9,7,3
0600000US4202903656,4202903656,"Avondale borough, Chester County, Pennsylvania",690,349,24,14,29,21,13,14,17,17,97,19,24,17,37,2,2,2,341,13,9,32,13,6,2,6,14,128,29,35,16,21,17,0,0
0600000US4202906544,4202906544,"Birmingham township, Chester County, Pennsylvania",2753,1340,0,0,0,0,0,0,0,0,56,30,62,55,522,351,132,132,1413,0,0,5,0,0,19,3,10,195,73,190,56,480,276,60,46
0600000US4202910824,4202910824,"Caln township, Chester County, Pennsylvania",8138,4121,13,39,16,70,94,107,81,151,1297,359,578,290,699,270,38,19,4017,38,8,26,66,7,26,64,77,1362,325,547,205,820,359,61,26
0600000US4202912744,4202912744,"Charlestown township, Chester County, Pennsylvania",2572,1232,0,0,0,0,0,17,4,29,139,71,137,53,458,197,121,6,1340,7,0,11,7,14,4,17,18,157,64,115,154,543,175,29,25
0600000US4202914712,4202914712,"Coatesville city, Chester County, Pennsylvania",6439,2896,108,17,74,104,139,113,208,181,1226,157,174,62,239,60,23,11,3543,38,35,56,162,117,240,172,124,1861,176,198,44,215,43,55,7
0600000US4202919752,4202919752,"Downingtown borough, Chester County, Pennsylvania",5010,2322,12,0,28,47,19,73,26,83,1022,129,302,82,352,95,34,18,2688,18,6,43,70,78,55,51,128,1050,154,328,111,426,128,28,14
0600000US4202920824,4202920824,"East Bradford township, Chester County, Pennsylvania",5948,2819,26,0,7,49,32,17,0,8,333,121,308,106,1093,387,140,192,3129,11,0,7,17,25,9,8,99,612,136,319,162,1051,547,75,51
0600000US4202920864,4202920864,"East Brandywine township, Chester County, Pennsylvania",3748,1804,6,0,0,26,7,9,19,31,473,86,201,111,498,221,86,30,1944,8,0,0,23,0,9,27,34,608,162,243,138,444,194,45,9
0600000US4202920920,4202920920,"East Caln township, Chester County, Pennsylvania",1998,951,0,3,0,8,10,14,10,16,135,65,177,35,294,113,54,17,1047,3,3,0,18,5,5,13,16,292,48,122,110,284,99,22,7
0600000US4202921008,4202921008,"East Coventry township, Chester County, Pennsylvania",3243,1485,0,0,6,39,29,39,27,32,512,125,168,91,224,156,12,25,1758,0,0,24,120,18,104,29,39,623,123,139,94,278,133,10,24
0600000US4202921104,4202921104,"East Fallowfield township, Chester County, Pennsylvania",3383,1661,0,0,6,60,35,52,84,50,610,59,165,114,251,102,33,40,1722,0,0,0,31,69,16,34,33,732,65,192,106,271,137,36,0
0600000US4202921192,4202921192,"East Goshen township, Chester County, Pennsylvania",12051,5577,7,0,12,4,25,49,92,78,761,157,601,193,2227,894,281,196,6474,6,0,41,49,11,47,63,93,1536,419,816,536,2017,640,122,78
0600000US4202921480,4202921480,"East Marlborough township, Chester County, Pennsylvania",3999,1963,0,9,26,9,0,33,11,16,229,62,159,84,720,398,41,166,2036,4,0,5,6,0,17,16,8,369,62,250,118,750,279,89,63
0600000US4202921576,4202921576,"East Nantmeal township, Chester County, Pennsylvania",1116,543,0,0,0,5,11,18,6,13,134,15,73,26,161,56,20,5,573,0,0,0,2,2,4,5,6,165,21,97,43,170,50,8,0
0600000US4202921624,4202921624,"East Nottingham township, Chester County, Pennsylvania",3367,1661,0,0,10,54,84,62,19,51,596,146,178,87,242,96,0,36,1706,0,0,23,59,27,31,91,12,763,121,139,48,315,61,16,0
0600000US4202921696,4202921696,"East Pikeland township, Chester County, Pennsylvania",4600,2190,8,0,0,72,61,61,21,23,511,63,233,123,598,345,36,35,2410,11,0,30,10,38,16,29,26,723,75,264,250,608,248,63,19
0600000US4202921928,4202921928,"Easttown township, Chester County, Pennsylvania",7193,3371,110,0,22,0,19,24,14,45,291,34,224,76,1419,602,351,140,3822,6,0,0,35,0,39,77,40,574,155,481,184,1457,540,174,60
0600000US4202922000,4202922000,"East Vincent township, Chester County, Pennsylvania",3667,1804,12,0,4,86,65,68,41,54,575,64,179,93,382,107,41,33,1863,0,7,17,55,72,57,43,49,582,82,239,155,339,114,35,17
0600000US4202922056,4202922056,"East Whiteland township, Chester County, Pennsylvania",6326,2914,9,10,9,82,26,44,15,70,575,86,248,135,1059,348,71,127,3412,14,0,5,89,31,108,30,47,736,99,357,245,1056,515,34,46
0600000US4202923032,4202923032,"Elk township, Chester County, Pennsylvania",992,491,2,9,0,17,10,5,13,18,184,22,69,35,75,15,2,15,501,0,0,8,5,8,5,9,8,191,35,51,42,101,34,2,2
0600000US4202923440,4202923440,"Elverson borough, Chester County, Pennsylvania",754,350,0,0,0,11,13,2,2,10,108,7,39,14,100,30,7,7,404,0,0,0,15,4,13,7,22,120,23,36,29,75,43,14,3
0600000US4202927376,4202927376,"Franklin township, Chester County, Pennsylvania",2304,1126,5,6,0,36,0,14,33,49,252,47,96,62,300,119,36,71,1178,7,0,0,12,0,26,17,13,271,67,151,122,299,169,10,14
0600000US4202934448,4202934448,"Highland township, Chester County, Pennsylvania",794,391,0,0,0,16,7,2,5,12,181,23,32,17,67,16,10,3,403,2,2,2,11,2,5,7,7,168,35,49,16,66,25,6,0
0600000US4202935528,4202935528,"Honey Brook borough, Chester County, Pennsylvania",794,354,0,0,0,8,7,18,7,17,150,11,58,13,42,15,0,8,440,0,9,2,10,14,25,9,16,164,33,46,27,52,28,5,0
0600000US4202935536,4202935536,"Honey Brook township, Chester County, Pennsylvania",3983,1770,0,7,0,197,123,82,72,48,680,109,135,51,183,65,0,18,2213,0,0,0,305,142,111,42,71,937,124,43,68,279,54,26,11
0600000US4202939344,4202939344,"Kennett township, Chester County, Pennsylvania",4512,2151,11,8,47,20,49,42,22,9,277,44,206,105,526,319,192,274,2361,0,12,11,0,43,7,43,0,480,97,214,134,774,402,74,70
0600000US4202939352,4202939352,"Kennett Square borough, Chester County, Pennsylvania",3381,1670,99,20,112,30,46,53,55,61,485,61,238,57,207,85,46,15,1711,32,33,5,58,37,82,49,58,657,135,135,98,238,50,31,13
0600000US4202944440,4202944440,"London Britain township, Chester County, Pennsylvania",1862,925,0,0,7,15,4,6,12,0,135,56,90,79,277,145,35,64,937,0,0,0,2,10,9,24,0,200,46,110,86,262,152,14,22
0600000US4202944456,4202944456,"Londonderry township, Chester County, Pennsylvania",1078,563,12,5,6,31,14,14,59,6,206,25,70,28,49,24,9,5,515,0,0,10,10,6,11,14,4,212,20,59,40,79,35,12,3
0600000US4202944480,4202944480,"London Grove township, Chester County, Pennsylvania",3335,1754,25,62,24,34,38,30,60,69,431,55,280,60,347,132,50,57,1581,7,6,21,52,20,18,58,21,398,70,260,121,297,160,39,33
