GEOID,NAME,racUniverse,racWhite,hispUniverse,notHisp,whiteNotHisp,povUniverse,stcty,above200
42101003002,"Census Tract 30.02, Philadelphia County, Pennsylvania",2988,707,2988,2886,614,2988,42101,1540
42101003100,"Census Tract 31, Philadelphia County, Pennsylvania",4064,477,4064,3756,336,4064,42101,2004
42101003200,"Census Tract 32, Philadelphia County, Pennsylvania",4631,392,4631,4307,377,4631,42101,1803
42101003300,"Census Tract 33, Philadelphia County, Pennsylvania",5970,1373,5970,5830,1258,5970,42101,2448
42101003600,"Census Tract 36, Philadelphia County, Pennsylvania",7379,1069,7379,7183,1035,7362,42101,2363
42101003701,"Census Tract 37.01, Philadelphia County, Pennsylvania",6255,806,6255,6079,667,6233,42101,2470
42101003702,"Census Tract 37.02, Philadelphia County, Pennsylvania",3998,1229,3998,3632,944,3960,42101,1453
42101003800,"Census Tract 38, Philadelphia County, Pennsylvania",3903,3722,3903,3741,3607,3903,42101,2940
42101003901,"Census Tract 39.01, Philadelphia County, Pennsylvania",6234,4112,6234,6076,3984,6221,42101,3528
42101003902,"Census Tract 39.02, Philadelphia County, Pennsylvania",5894,5620,5894,5802,5528,5863,42101,4906
42101004001,"Census Tract 40.01, Philadelphia County, Pennsylvania",4035,3207,4035,3824,3099,4035,42101,2343
42101004002,"Census Tract 40.02, Philadelphia County, Pennsylvania",4992,4602,4992,4595,4205,4992,42101,3561
42101004101,"Census Tract 41.01, Philadelphia County, Pennsylvania",6410,2112,6410,5253,1597,6388,42101,1714
42101004102,"Census Tract 41.02, Philadelphia County, Pennsylvania",9485,4092,9485,7781,3069,9485,42101,4061
42101004201,"Census Tract 42.01, Philadelphia County, Pennsylvania",5354,4317,5354,5143,4147,5354,42101,3247
42101004202,"Census Tract 42.02, Philadelphia County, Pennsylvania",5828,4225,5828,5438,3909,5632,42101,3039
42101005000,"Census Tract 50, Philadelphia County, Pennsylvania",0,0,0,0,0,0,42101,0
42101005400,"Census Tract 54, Philadelphia County, Pennsylvania",1410,167,1410,1340,136,1410,42101,1023
42101005500,"Census Tract 55, Philadelphia County, Pennsylvania",6532,940,6532,6153,719,6461,42101,4083
42101005600,"Census Tract 56, Philadelphia County, Pennsylvania",1032,83,1032,1009,67,1032,42101,469
42101006000,"Census Tract 60, Philadelphia County, Pennsylvania",6137,1191,6137,5976,1111,6137,42101,2630
42101006100,"Census Tract 61, Philadelphia County, Pennsylvania",3316,398,3316,3278,387,3316,42101,1541
42101006200,"Census Tract 62, Philadelphia County, Pennsylvania",5186,189,5186,5052,189,5186,42101,2026
42101006300,"Census Tract 63, Philadelphia County, Pennsylvania",4264,397,4264,3911,211,4249,42101,1478
42101006400,"Census Tract 64, Philadelphia County, Pennsylvania",3682,291,3682,3578,291,3669,42101,1383
42101006500,"Census Tract 65, Philadelphia County, Pennsylvania",4207,57,4207,4171,57,4176,42101,1876
42101006600,"Census Tract 66, Philadelphia County, Pennsylvania",3368,281,3368,3290,203,3314,42101,1085
42101006700,"Census Tract 67, Philadelphia County, Pennsylvania",6512,496,6512,6283,422,6496,42101,2977
42101006900,"Census Tract 69, Philadelphia County, Pennsylvania",2542,104,2542,2409,83,2542,42101,534
42101007000,"Census Tract 70, Philadelphia County, Pennsylvania",3530,91,3530,3521,82,3530,42101,1291
42101007101,"Census Tract 71.01, Philadelphia County, Pennsylvania",2546,86,2546,2539,79,2447,42101,787
42101007102,"Census Tract 71.02, Philadelphia County, Pennsylvania",4610,69,4610,4425,51,4599,42101,2151
42101007200,"Census Tract 72, Philadelphia County, Pennsylvania",5046,145,5046,4953,93,4985,42101,2244
42101007300,"Census Tract 73, Philadelphia County, Pennsylvania",2529,124,2529,2498,124,2529,42101,1291
42101007400,"Census Tract 74, Philadelphia County, Pennsylvania",4377,521,4377,4262,428,4377,42101,1693
42101007700,"Census Tract 77, Philadelphia County, Pennsylvania",2102,1005,2102,2024,943,1547,42101,596
42101007800,"Census Tract 78, Philadelphia County, Pennsylvania",4276,2586,4276,4063,2414,4147,42101,2429
42101007900,"Census Tract 79, Philadelphia County, Pennsylvania",4443,2649,4443,4169,2441,4443,42101,3155
42101008000,"Census Tract 80, Philadelphia County, Pennsylvania",3889,734,3889,3717,667,3879,42101,2064
42101008101,"Census Tract 81.01, Philadelphia County, Pennsylvania",2343,7,2343,2325,0,2343,42101,883
42101008102,"Census Tract 81.02, Philadelphia County, Pennsylvania",5497,50,5497,5424,50,5488,42101,1871
42101008200,"Census Tract 82, Philadelphia County, Pennsylvania",6413,49,6413,6397,48,6413,42101,3039
42101008301,"Census Tract 83.01, Philadelphia County, Pennsylvania",4809,113,4809,4672,105,4327,42101,2036
42101008302,"Census Tract 83.02, Philadelphia County, Pennsylvania",4334,89,4334,4110,10,4334,42101,1786
42101008400,"Census Tract 84, Philadelphia County, Pennsylvania",4803,160,4803,4693,140,4682,42101,1832
42101008500,"Census Tract 85, Philadelphia County, Pennsylvania",7415,463,7415,7178,446,7415,42101,2436
42101008601,"Census Tract 86.01, Philadelphia County, Pennsylvania",2860,1535,2860,2687,1434,2860,42101,1757
42101008602,"Census Tract 86.02, Philadelphia County, Pennsylvania",2241,484,2241,2185,484,2241,42101,1281
42101008701,"Census Tract 87.01, Philadelphia County, Pennsylvania",4841,2580,4841,4392,2292,4841,42101,2040
42101008702,"Census Tract 87.02, Philadelphia County, Pennsylvania",2628,1286,2628,2424,1141,2526,42101,1359
42101008801,"Census Tract 88.01, Philadelphia County, Pennsylvania",2272,1473,2272,2096,1345,412,42101,84
42101008802,"Census Tract 88.02, Philadelphia County, Pennsylvania",6680,3961,6680,6286,3720,3931,42101,810
42101009000,"Census Tract 90, Philadelphia County, Pennsylvania",6173,4047,6173,5825,3823,2694,42101,657
42101009100,"Census Tract 91, Philadelphia County, Pennsylvania",2793,808,2793,2745,772,2793,42101,978
42101009200,"Census Tract 92, Philadelphia County, Pennsylvania",3568,558,3568,3490,529,3568,42101,952
42101009300,"Census Tract 93, Philadelphia County, Pennsylvania",4109,35,4109,4109,35,4109,42101,1847
42101009400,"Census Tract 94, Philadelphia County, Pennsylvania",4123,29,4123,4083,29,4123,42101,1191
42101009500,"Census Tract 95, Philadelphia County, Pennsylvania",3065,164,3065,2927,26,3065,42101,1200
42101009600,"Census Tract 96, Philadelphia County, Pennsylvania",4311,83,4311,4195,83,4311,42101,1372
42101009801,"Census Tract 98.01, Philadelphia County, Pennsylvania",2417,254,2417,2331,207,2410,42101,1319
42101009802,"Census Tract 98.02, Philadelphia County, Pennsylvania",6445,503,6445,6403,483,6403,42101,4175
42101010000,"Census Tract 100, Philadelphia County, Pennsylvania",4610,590,4610,4517,561,4610,42101,2306
42101010100,"Census Tract 101, Philadelphia County, Pennsylvania",7051,594,7051,6457,99,7051,42101,3862
42101010200,"Census Tract 102, Philadelphia County, Pennsylvania",3008,0,3008,2926,0,3008,42101,1124
42101010300,"Census Tract 103, Philadelphia County, Pennsylvania",2662,7,2662,2481,0,2662,42101,1123
42101010400,"Census Tract 104, Philadelphia County, Pennsylvania",4058,147,4058,3977,127,4048,42101,927
42101010500,"Census Tract 105, Philadelphia County, Pennsylvania",4472,259,4472,4327,223,3776,42101,1078
42101010600,"Census Tract 106, Philadelphia County, Pennsylvania",1587,110,1587,1553,92,1563,42101,345
42101010700,"Census Tract 107, Philadelphia County, Pennsylvania",3738,160,3738,3699,160,3672,42101,1086
42101010800,"Census Tract 108, Philadelphia County, Pennsylvania",3846,329,3846,3807,329,3846,42101,1109
42101010900,"Census Tract 109, Philadelphia County, Pennsylvania",2599,480,2599,2488,438,2599,42101,608
42101011000,"Census Tract 110, Philadelphia County, Pennsylvania",3936,200,3936,3859,200,3936,42101,858
42101011100,"Census Tract 111, Philadelphia County, Pennsylvania",3083,177,3083,3040,177,3054,42101,1028
42101011200,"Census Tract 112, Philadelphia County, Pennsylvania",4966,35,4966,4859,35,4965,42101,2391
42101011300,"Census Tract 113, Philadelphia County, Pennsylvania",2744,0,2744,2744,0,2744,42101,1185
42101011400,"Census Tract 114, Philadelphia County, Pennsylvania",7219,83,7219,7087,77,7219,42101,3907
42101011500,"Census Tract 115, Philadelphia County, Pennsylvania",4766,252,4766,4626,236,4766,42101,2861
42101011700,"Census Tract 117, Philadelphia County, Pennsylvania",1899,982,1899,1840,957,969,42101,694
