GEOID,NAME,racUniverse,racWhite,hispUniverse,notHisp,whiteNotHisp,povUniverse,stcty,above200
34007608202,"Census Tract 6082.02, Camden County, New Jersey",4305,3033,4305,4158,2959,4305,34007,3869
34007608205,"Census Tract 6082.05, Camden County, New Jersey",3977,3725,3977,3977,3725,3977,34007,3795
34007608206,"Census Tract 6082.06, Camden County, New Jersey",3324,3142,3324,3273,3142,3324,34007,2738
34007608209,"Census Tract 6082.09, Camden County, New Jersey",3792,2985,3792,3734,2955,3792,34007,3244
34007608210,"Census Tract 6082.10, Camden County, New Jersey",3616,2309,3616,3362,2129,3594,34007,2455
34007608211,"Census Tract 6082.11, Camden County, New Jersey",4889,3160,4889,4582,2996,4889,34007,3732
34007608302,"Census Tract 6083.02, Camden County, New Jersey",4491,4230,4491,4379,4218,4491,34007,3691
34007608303,"Census Tract 6083.03, Camden County, New Jersey",3360,2734,3360,2930,2621,3360,34007,2364
34007608304,"Census Tract 6083.04, Camden County, New Jersey",5701,4865,5701,5495,4844,5701,34007,4648
34007608401,"Census Tract 6084.01, Camden County, New Jersey",3978,3036,3978,3795,2976,3978,34007,3603
34007608402,"Census Tract 6084.02, Camden County, New Jersey",4174,3023,4174,3951,2981,4174,34007,3544
34007608403,"Census Tract 6084.03, Camden County, New Jersey",7791,4799,7791,7376,4653,7791,34007,6484
34007608404,"Census Tract 6084.04, Camden County, New Jersey",6302,4309,6302,6014,4192,6131,34007,4833
34007608503,"Census Tract 6085.03, Camden County, New Jersey",2947,1824,2947,2729,1671,2947,34007,1982
34007608504,"Census Tract 6085.04, Camden County, New Jersey",2723,1553,2723,2406,1512,2716,34007,1703
34007608600,"Census Tract 6086, Camden County, New Jersey",5021,3505,5021,4567,3393,5021,34007,3490
34007608700,"Census Tract 6087, Camden County, New Jersey",7357,7064,7357,7187,6906,7357,34007,6131
34007608800,"Census Tract 6088, Camden County, New Jersey",5337,4328,5337,4987,3993,5295,34007,4171
34007608901,"Census Tract 6089.01, Camden County, New Jersey",5615,4908,5615,5449,4851,5615,34007,4405
34007608903,"Census Tract 6089.03, Camden County, New Jersey",3561,3394,3561,3487,3394,3561,34007,3297
34007608904,"Census Tract 6089.04, Camden County, New Jersey",1494,1494,1494,1481,1481,1494,34007,1358
34007609000,"Census Tract 6090, Camden County, New Jersey",1565,607,1565,1381,556,1562,34007,1218
34007609103,"Census Tract 6091.03, Camden County, New Jersey",5019,3685,5019,4652,3484,4950,34007,4152
34007609201,"Census Tract 6092.01, Camden County, New Jersey",3963,2189,3963,3497,2151,3958,34007,3234
34007609202,"Census Tract 6092.02, Camden County, New Jersey",4939,1482,4939,4509,1230,4861,34007,3376
34007609203,"Census Tract 6092.03, Camden County, New Jersey",8566,3867,8566,7782,3645,8527,34007,7316
34007609204,"Census Tract 6092.04, Camden County, New Jersey",3946,880,3946,3629,862,3933,34007,2747
34007609205,"Census Tract 6092.05, Camden County, New Jersey",6813,4665,6813,5980,4437,6813,34007,5401
